udm,ru
Туала архитектура,Нынешняя архитектура
Отставкаысь капитан,Отставка капитана
Центрез — кар типъем гурт Балезино,"Центр города , в центре города , типа Балезина"
Гуртлэн историез,История деревни
"Герцен , М",Герцен Герценов
Уйпал наречие,Север наречие
Бесерман наречие,наречие Бесермянина
Центрез — Глаз кар,Глазова в центре города
"Толстойлэсь , Н.А",Толстый Толстой
Маяковскийлэсь но мукетъёсызлэсь,Маяковский и другие
Романаз М,Роман Роман
Бесерманъёслэн историысьтызы,История Бесермянина
"Филология наукаосъя доктор , профессор","В науке о филологии , докторе , профессоре"
"Кельмаков , Райя Бартенс но мукетъёсыз",Кельмакова и Рай Бартенсов
Дуров — кавалерист-нылмурт Надежда Дуровалэн атаез,"Кавалерист Надежда Дурова , кавалерист , отец"
Торговый дом,Торговые дома
* Коми-язьвинский диалект,Диалог коми
Ложкинлэн тужгес но яркыт ужез - И,Ложкина и Ложкин очень ярко и на работе
* « Вуж Мултан » ( М,Тетива Мултана старая
"Садовниковъя ) , Роман ( « Аннок » И",Роман Садовников и Роман Аннок
"Газет вӧлме подпиская Удмуртие , Татарстанэ , Башкортостанэ","газета распространилась на подписку в Удмуртии , Татарстане , Башкортостане"
﻿История но статистика,История и статистика
Пичи дырыз,Маленькое время
Та повесть Красильниковлэн дипломной ужез вал,Эта повесть Красильникова о дипломной работе лошади
"Красильниковлэн улоназ тужгес но шудоез вал , дыр",Красильникова и жизнь очень счастливые времена
Коноваловлэн « Лизӥ » веросэз,Лиза Коновалова рассказывает рассказ
Центрез — Эгра,Центры игр
Ӝоген В,"Быстро , быстро"
Катьырнакарлэн историез,История Екатеринбурга
Карен кивалтэ мэр но Кар дума,мэр города и мэр города
* Российской государственной профессионально-педагогической университет ( РГППУ ),Российское государственное педагогическое университет
* Уральский юридической институт ( УрЮИ ),Уральский юридический институт
Гогольлэсь Ревизор произведениоссэс но мукет,Гоголь и Ревизор в других произведениях
Муниципальной властез быдэсъяло :,муниципальная власть выполняет
Емельянов но мукетъёсыз,Емельянова и другие
Центрез — Кизнер,Центр Кизнер
﻿ОАО « Ижсталь »,ОАО Ижсталь
"« Северной верфь » , Балтийской завод , Адмиралтейской верфь , Канонерской завод , Невской судостроительной завод но мукетъёсыз","Северная верфь балтийского завода , адмиралтейская верфь , канонерский завод ,"
Восстания карлуд но мукетъёсыз,Восстание на площади и другие
"Мариинской театр , Александринской театр , Михайловской театр , Бадӟым драматической театр , Комедия Санкт-Петербугысь академической театр , Покчи драматической но мукетъёсыз","Мариинский театр , Александринский театр , большой драматический театр , комедия в Петербуге ,"
Центрез — Кияса,Центр Кияса
Грековлэн зарни медаленыз,Золотая медаль Грекова
Туала пои,Нынешний пои
Кӧня ке терминъёсыз,Если терминов сколько
Коллективлэн продюсерзы —Ксения Рубцова,Директор Ксения Рубцова в коллективе
"Дышетӥсез , директорез вал Сяктерев",учителя научили Логу
Школаен кивалтӥзы,руководить школой
Конструкторлэн улонэз,Конструкторы жизни
Центрез — Сюмси,Центр Сюмси
Экономика но культура,Экономика и культура
Кузон агломерация,Агломерация в Казани
